Sample in Buffer,Sample in Window,TRIGGER,trig[1:0],rxdatak[3:0],rxdata[31:0],DETECT/Q[1:0]
0,0,0,0,3,0000fe1c,0
1,1,0,0,2,00007c1b,0
2,2,0,0,0,000010dd,0
3,3,0,0,3,0000fedc,0
4,4,0,0,2,0000fed8,0
5,5,0,0,2,0000fe87,0
6,6,0,0,2,0000fe4e,0
7,7,0,0,0,0000b582,0
8,8,0,0,3,0000fefe,0
9,9,0,0,0,00004875,0
10,10,0,0,2,0000fed9,0
11,11,0,0,2,0000fee1,0
12,12,0,0,1,0000c4fe,0
13,13,0,0,1,000013fe,0
14,14,0,0,1,0000bcfe,0
15,15,0,0,0,00007a82,0
16,16,0,0,2,0000fe38,0
17,17,0,0,3,0000fedc,0
18,18,0,0,3,0000fefe,0
19,19,0,0,2,0000fe81,0
20,20,0,0,1,000092fe,0
21,21,0,0,1,000000fe,0
22,22,0,0,0,0000fe9d,0
23,23,0,0,3,0000fefe,0
24,24,0,0,2,0000fe5e,0
25,25,0,0,0,00004dc0,0
26,26,0,0,3,0000fefe,0
27,27,0,0,0,00002b19,0
28,28,0,0,0,0000cc83,0
29,29,0,0,0,00008a0d,0
30,30,0,0,0,00009880,0
31,31,0,0,0,00002b1c,0
32,32,0,0,1,000001fe,0
33,33,0,0,2,0000fef1,0
34,34,0,0,1,00008cfe,0
35,35,0,0,0,0000ea12,0
36,36,0,0,1,0000d8fe,0
37,37,0,0,2,0000fe78,0
38,38,0,0,1,0000f8fe,0
39,39,0,0,2,0000feec,0
40,40,0,0,3,0000fefe,0
41,41,0,0,3,0000fefe,0
42,42,0,0,2,0000fe1e,0
43,43,0,0,1,00005afe,0
44,44,0,0,0,00001a1c,0
45,45,0,0,0,0000000b,0
46,46,0,0,2,0000feec,0
47,47,0,0,2,0000fe89,0
48,48,0,0,1,0000d4fe,0
49,49,0,0,0,00007142,0
50,50,0,0,2,0000fe3f,0
51,51,0,0,2,0000fe21,0
52,52,0,0,3,0000fefe,0
53,53,0,0,2,0000feeb,0
54,54,0,0,1,0000c2fe,0
55,55,0,0,3,0000fefe,0
56,56,0,0,3,0000fefe,0
57,57,0,0,1,000016fe,0
58,58,0,0,3,0000fefe,0
59,59,0,0,3,0000fefe,0
60,60,0,0,3,0000fefe,0
61,61,0,0,1,000097fe,0
62,62,0,0,2,0000fe10,0
63,63,0,0,3,0000fefe,0
64,64,0,0,1,000053fe,0
65,65,0,0,2,0000fee9,0
66,66,0,0,3,0000fefe,0
67,67,0,0,0,000021be,0
68,68,0,0,0,0000b110,0
69,69,0,0,3,0000fefe,0
70,70,0,0,1,00002dfe,0
71,71,0,0,3,0000fefe,0
72,72,0,0,0,0000f7b0,0
73,73,0,0,0,0000d828,0
74,74,0,0,0,0000cd31,0
75,75,0,0,1,00009fdc,0
76,76,0,0,1,0000ebfe,0
77,77,0,0,0,0000e5f2,0
78,78,0,0,2,0000fe75,0
79,79,0,0,1,000047fe,0
80,80,0,0,0,00001099,0
81,81,0,0,2,0000fe93,0
82,82,0,0,2,0000fe0c,0
83,83,0,0,2,0000fe9e,0
84,84,0,0,3,0000fefe,0
85,85,0,0,0,0000d814,0
86,86,0,0,2,0000feed,0
87,87,0,0,3,0000fefe,0
88,88,0,0,1,00004dfe,0
89,89,0,0,3,0000fefe,0
90,90,0,0,2,0000fea3,0
91,91,0,0,3,0000fefe,0
92,92,0,0,2,0000fe5a,0
93,93,0,0,3,0000fefe,0
94,94,0,0,1,00001bfe,0
95,95,0,0,3,0000fe9c,0
96,96,0,0,0,00006469,0
97,97,0,0,0,0000cff4,0
98,98,0,0,1,0000c9fe,0
99,99,0,0,3,0000fefe,0
100,100,0,0,2,00007c82,0
101,101,0,0,3,0000fefe,0
102,102,0,0,0,00006bf9,0
103,103,0,0,3,0000fefe,0
104,104,0,0,2,0000fe3a,0
105,105,0,0,0,00004446,0
106,106,0,0,2,0000feeb,0
107,107,0,0,2,0000fe85,0
108,108,0,0,2,0000fe72,0
109,109,0,0,2,0000fedd,0
110,110,0,0,3,0000fefe,0
111,111,0,0,0,0000e9d0,0
112,112,0,0,2,0000fe39,0
113,113,0,0,3,0000fefe,0
114,114,0,0,0,00001bf3,0
115,115,0,0,1,0000e8fe,0
116,116,0,0,3,0000bcfe,0
117,117,0,0,2,0000fe4f,0
118,118,0,0,1,000083fe,0
119,119,0,0,1,0000c9fe,0
120,120,0,0,1,00001ffe,0
121,121,0,0,0,00003d21,0
122,122,0,0,3,0000fe3c,0
123,123,0,0,3,0000fefe,0
124,124,0,0,3,0000fefe,0
125,125,0,0,2,0000fef7,0
126,126,0,0,1,00000afe,0
127,127,0,0,0,0000981b,0
128,128,0,0,2,0000fec8,0
129,129,0,0,2,0000fe24,0
130,130,0,0,2,0000fe5a,0
131,131,0,0,2,0000fe0b,0
132,132,0,0,3,0000fefe,0
133,133,0,0,0,0000c44d,0
134,134,0,0,0,0000824d,0
135,135,0,0,1,0000e5fe,0
136,136,0,0,0,0000a481,0
137,137,0,0,0,00008ce9,0
138,138,0,0,1,000088fe,0
139,139,0,0,2,0000f728,0
140,140,0,0,1,000078fe,0
141,141,0,0,3,0000fefe,0
142,142,0,0,2,0000fef9,0
143,143,0,0,0,0000eecf,0
144,144,0,0,3,0000fefe,0
145,145,0,0,0,00007b03,0
146,146,0,0,3,0000fcfe,0
147,147,0,0,1,0000dffe,0
148,148,0,0,3,0000fdfe,0
149,149,0,0,3,0000fefe,0
150,150,0,0,2,0000fe4b,0
151,151,0,0,3,0000fefe,0
152,152,0,0,3,0000fefe,0
153,153,0,0,2,0000fe70,0
154,154,0,0,0,00000e40,0
155,155,0,0,0,0000f0ed,0
156,156,0,0,0,0000a8e8,0
157,157,0,0,0,000002cf,0
158,158,0,0,3,0000fefe,0
159,159,0,0,2,0000fe1e,0
160,160,0,0,1,000076fe,0
161,161,0,0,1,0000ddfe,0
162,162,0,0,3,0000fefe,0
163,163,0,0,2,0000fe70,0
164,164,0,0,0,000005cd,0
165,165,0,0,3,0000fefe,0
166,166,0,0,2,0000fea4,0
167,167,0,0,1,0000b6fe,0
168,168,0,0,1,000009fe,0
169,169,0,0,3,0000fefe,0
170,170,0,0,0,0000993b,0
171,171,0,0,1,0000a6fe,0
172,172,0,0,3,0000fefb,0
173,173,0,0,0,000059e4,0
174,174,0,0,3,0000fefe,0
175,175,0,0,3,0000fefe,0
176,176,0,0,3,0000fefe,0
177,177,0,0,2,0000fe4e,0
178,178,0,0,3,0000fefe,0
179,179,0,0,3,0000fefe,0
180,180,0,0,0,0000fe76,0
181,181,0,0,3,0000fefe,0
182,182,0,0,2,0000fe98,0
183,183,0,0,2,0000fe36,0
184,184,0,0,2,0000fe9e,0
185,185,0,0,3,0000fefe,0
186,186,0,0,0,00008b67,0
187,187,0,0,3,0000fefe,0
188,188,0,0,3,0000fefe,0
189,189,0,0,3,0000fefe,0
190,190,0,0,1,0000cbfe,0
191,191,0,0,3,0000fefe,0
192,192,0,0,1,000063fe,0
193,193,0,0,1,0000c0fe,0
194,194,0,0,2,0000fe1e,0
195,195,0,0,3,0000fefe,0
196,196,0,0,3,0000fefe,0
197,197,0,0,1,0000a8fe,0
198,198,0,0,3,0000fef7,0
